0,1,2,3
625,0,2017-08-18,4160.620117
626,0,2017-08-19,4193.700195
627,0,2017-08-20,4087.659912
628,0,2017-08-21,4001.73999
629,0,2017-08-22,4100.52002
630,0,2017-08-23,4151.52002
631,0,2017-08-24,4334.680176
632,0,2017-08-25,4371.600098
633,0,2017-08-26,4352.399902
634,0,2017-08-27,4382.879883
635,0,2017-08-28,4382.660156
636,0,2017-08-29,4579.02002
637,0,2017-08-30,4565.299805
638,0,2017-08-31,4703.390137
639,0,2017-09-01,4892.009766
640,0,2017-09-02,4578.77002
641,0,2017-09-03,4582.959961
642,0,2017-09-04,4236.310059
643,0,2017-09-05,4376.529785
644,0,2017-09-06,4597.120117
645,0,2017-09-07,4599.879883
646,0,2017-09-08,4228.75
647,0,2017-09-09,4226.060059
648,0,2017-09-10,4122.939941
649,0,2017-09-11,4161.27002
650,0,2017-09-12,4130.810059
651,0,2017-09-13,3882.590088
652,0,2017-09-14,3154.949951
653,0,2017-09-15,3637.52002
654,0,2017-09-16,3625.040039
655,0,2017-09-17,3582.879883
656,0,2017-09-18,4065.199951
657,0,2017-09-19,3924.969971
658,0,2017-09-20,3905.949951
659,0,2017-09-21,3631.040039
660,0,2017-09-22,3630.699951
661,0,2017-09-23,3792.399902
662,0,2017-09-24,3682.840088
663,0,2017-09-25,3926.070068
664,0,2017-09-26,3892.350098
665,0,2017-09-27,4200.669922
666,0,2017-09-28,4174.72998
667,0,2017-09-29,4163.069824
668,0,2017-09-30,4338.709961
669,0,2017-10-01,4403.740234
670,0,2017-10-02,4409.319824
671,0,2017-10-03,4317.47998
672,0,2017-10-04,4229.359863
673,0,2017-10-05,4328.410156
674,0,2017-10-06,4370.810059
675,0,2017-10-07,4426.890137
676,0,2017-10-08,4610.47998
677,0,2017-10-09,4772.02002
678,0,2017-10-10,4781.990234
679,0,2017-10-11,4826.47998
680,0,2017-10-12,5446.910156
681,0,2017-10-13,5647.209961
682,0,2017-10-14,5831.790039
683,0,2017-10-15,5678.189941
684,0,2017-10-16,5725.589844
685,0,2017-10-17,5605.509766
686,0,2017-10-18,5590.689941
687,0,2017-10-19,5708.52002
